title,label,category_name,article_content,article_date,TOPIC
شادي حلوة وفارس الشهابي، والترويج للأكاذيب خلال معركة النيرب بريف إدلب,fake,كذب,"
بدأ الجيش التركي وحلفاؤه من فصائل المعارضة السورية يوم الخميس الموافق لـ20 شباط/فبراير 2020 هجوماً ضد مناطق كانت واقعة تحت سيطرة قوات نظام الأسد بريف إدلب، وتحديداً منطقة النيرب التي شهدت تقدماً ثم تراجعاً للجيش التركي وحلفائه في ذات اليوم، في حين استهدفت القوات المهاجمة مواقع لقوات الأسد في سراقب وداديخ وآفس وكفر بطيخ دون التوغل باتجاه تلك المناطق.
ورافق تلك المعارك انتشار كثيف لأخبار كاذبة، إضافة إلى صور وتسجيلات مصورة غير متعلقة، ويستعرض فريق (تأكد) في هذا التقرير أهم المواد المضللة التي رصدها خلال اليومين الماضيين.
ماهي المواد الملفقة التي تم تداولها على نطاق واسع؟
١ - صورة لدبابة تركية، ادعى موالون لنظام الأسد أن قوات الأسد دمرتها في معارك النيرب بريف إدلب.
تنظيم (داعش) هو من دمرها في الحقيقة عام 2017
شادي حلوة، فارس شهابي، شبكة أخبار الحمدانية
نشر الإعلامي الموالي لنظام الأسد مراسل الفضائية السورية في حلب شادي حلوة صورة لدبابة تركية مدمرة، مدعيا أن قوات نظام الأسد هي من قامت بذلك. كما نشر النائب في برلمان الأسد والصناعي المعروف فارس الشهابي الصورة ذاتها، بالإضافة إلى عدد من الصفحات الإخبارية الموالية للنظام مثل (شبكة أخبار الحمدانية)، والتي شاركت نفس ادعاءات حلوة.
منصة تأكد تحققت من الصورة عن طريق استخدام تقنية البحث العكسي ، إضافة إلى استخدام الكلمات المفتاحية المناسبة في عملية البحث، وتوصلت إلى أن الصورة هي لدبابة تركية بالفعل، لكنها ليست من معارك النيرب الأخيرة، وإنما من معارك جرت بين تنظيم (داعش) وبين الجيش التركي وحلفائه في منطقة جبل الشيخ عقيل في أواخر عام 2016 وأوائل عام 2017، ورصد فريق تأكد وجود تلك الصورة مع صور أخرى من تلك المعارك في موقع أمريكي لمشاركة الصور اسمه (Imgur)، وقد نشرت بتاريخ 21 كانون الثاني/يناير من العام 2017.
٢ - دبابة تحترق، ادعى موالون لنظام الأسد أن قوات النظام هي من دمرتها، لكنها في الحقيقة دبابة أمريكية دمرتها عبوة ناسفة عام 2006 في بغداد، (بي بي سي، جيتي اميجز)
صورة أخرى لدبابة تحترق، نشرتها صفحات موالية لنظام بشار الأسد، وأرفقت صفحة تحمل اسم (الشعب في زمن الحرب) الصورة بمنشور أفادت فيه بأن الدبابة من طراز (ألتاي) قد دمرتها قذيفة من طراز (آر بي جي- RPG)، لكن الصورة تعود في الحقيقة لدبابة أمريكية من طراز (آبرامز - Abrams). وقد نشرت وكالة (Getty) صورة للدبابة من منظور أقرب، وذكرت أن عبوة ناسفة استهدفت الدبابة شرقي العاصمة العراقية بغداد في 10 آذار/مارس من العام 2006 حسب ما نقلت الوكالة عن الشرطة العراقية آنذاك.
٣ - تسجيل مصور يظهر آليات ومدرعات ادعت صفحات موالية أنها للجيش التركي، وأن قوات نظام الأسد هي من دمرتها بريف إدلب، وفي الحقيقة هي آليات لفصائل المعارضة دمرت بريف حلب حسب وكالة ANNA
تسجيل مصوّر آخر، نشرته صفحات وحسابات موالية لنظام الأسد، يظهر آليات مدمرة وعمليات استهداف جوي لآليات متحركة. صفحة تحمل اسم (أخبار حلب Aleppo News) وتحظى بأكثر من 450 ألف متابع على فيسبوك، ذكرت أن التسجيل ""يظهر آليات و مدرعات الجيش التركي المحترقة بنيران الجيش السوري في محيط النيرب بريف ادلب""، لكن التسجيل في الحقيقة نشرته وكالة (ANNA) الأبخازية التي يرافق مراسلوها قوات نظام الأسد في عملياتها العسكرية بتاريخ 18 شباط/فبراير 2020، أي قبل يومين من بدء العملية العسكرية التركية في منطقة النيرب بريف إدلب، ويصوّر الفيديو عمليات قوات نظام الأسد في قرى ومناطق كفرحلب وميزناز وأورم الكبرى ومشارف خان العسل في 16 شباط.
رابط مؤرشف لمنشور صفحة (أخبار حلب)
4 مجموعة صور لآليات وعربات مصفحة ادعى فارس شهابي انها تركية وأن قوات الاسد دمرتها في منطقة النيرب، وفي الحقيقة هي اليات دمرت بريف حلب خلال تقدم قوات نظام الأسد
أيضا، فقد نشر فارس شهابي يوم 21 شباط/فبراير على صفحته في موقع (فيسبوك) صورة تضمنت عشر صور لدبابات وآليات عسكرية معطوبة أو مدمرة، وأرفق (الشهابي) الصور بمنشور كتب فيه باللغة الإنكليزية: ""مركبات الجيش التركي في النيرب بإدلب بعد ثلاث ساعات فقط ..! قلنا لأردوغان سوريا ليست شمال قبرص لكنه لم ينصت ..! هذا إهانة بأبعاد تاريخية لثاني أكبر جيش في الناتو ..! مرة أخرى، لماذا يرسل أبناء تركيا إلى الموت من أجل تنظيم القاعدة ؟!"".
حصل منشور الشهابي على نحو ٢٠٠ مشاركة، على الرغم من أن كافة الصور التي نشرها لا تمت بصلة بمعارك منطقة النيرب، إنما هي مأخوذة من التقرير الذي نشرته وكالة (ANNA) الأبخازية المذكور في الفقرة السابقة، والذي نُشر قبل يومين من هجوم الجيش التركي وحلفائه على منطقة النيرب.
وتظهر في الفيديو عدة آليات معطوبة لفصائل المعارضة السورية المسلحة وذلك خلال خوضها معارك مع قوات الأسد في مناطق كفرحلب ميزناز وأورم الكبرى حسب ذكر مراسل الوكالة نفسه خلال الفيديو.
هذا وقد قام فريق تأكد بمراجعة التسجيل والتحقق من كافة الصور التي استخدمها شهابي في منشوره المضلل. يمكن الاطلاع على الصور في الفيديو المذكور كما ورد ترتيبها في المنشور المضلل عن طريق الضغط على الروابط التالية المرقمة بالتوافق مع أرقام الصور التي وردت في المنشور: 1، 2، 3، 4، 5، 6، 7، 8، 9، و10
لم يقتصر نشر المواد المضللة على موالي الأسد
صفحات مناهضة للأسد على مواقع التواصل الاجتماعي نشرت أيضاً صوراً وتسجيلات مصورة نسبتها لمعركة النيرب بريف إدلب، ولكنها في الوقت لا تمت للمعركة المذكورة بصلة.
5 - تسجيل مصور يظهر مقاتلين من قوات الأسد خلال مواجهات مسلحة، وادعت صفحات مضادة لقوات الأسد أنهم ينسحبون تحت ضربات مقاتلي المعارضة في النيرب بريف ادلب، لكن في الحقيقة هي جانب من معارك بريف حلب
نشرت صفحة (الحدث السوري) التي تحظى باكثر من 675 ألف متابع على موقع (فيسبوك) تسجيلاً مصوراً يظهر جنوداً من قوات الأسد في خضم مواجهة مع مقاتلي فصائل المعارضة، وعنونت الصفحة التسجيل بـ""وكالة روسية تصور حالة انسحاب قوات النظام من النيرب""، إلا أن التسجيل في الحقيقة مقتطع من تسجيل أطول، هو ذاته الذي ورد في الفقرتين الثالثة والرابعة، ويمكن التحقق من ذلك من خلال مطابقة التسجيل المنشور مع الفيديو الأساسي ابتداءً من اللقطة التي تبدأ من الدقيقة 30:27.
6- تسجيل مصور لإطلاق صواريخ من راجمات، ادعى ناشروه انه للقوات التركية خلال استهدافها قوات الاسد في سراقب، لكنه في الحقيقة تسجيل من عملية غصن الزيتون بريف عفرين
تسجيل مصوّر آخر يظهر عملية إطلاق صواريخ من راجمات أرضية، نشرته العديد من الصفحات مدعيةً أنه يظهر راجمات الصواريخ و المدفعية التركية خلال استهدافها غرفة عمليات قوات الأسد في سراقب، لكن التسجيل في الحقيقة قديم، ورصد فريق (تأكد) انتشار التسجيل قبل نحو عامين، كما عرضته مواقع وقنوات إخبارية تركية في تلك الفترة على أنه يصور استهداف القوات التركية لمواقع تابعة لـ (حزب الاتحاد الديمقراطي - PYD) بريف حلب الشمالي.
موقع (haberler) التركي أحد المصادر التي نشرت التسجيل بتاريخ 21 كانون الثاني/يناير 2018، تحت عنوان ""لحظة قصف الأهداف في عفرين مع عملية غصن الزيتون هاتاي""، كما أظهرت نتائج البحث التسجيل ذاته منشورا على موقع صحيفة (milliyet) التركية تحت عنوان ""لحظة إطلاق النار على الأهداف في عفرين"".
وتمكنت فصائل المعارضة السورية المدعومة تركياً من السيطرة على قرية النيرب بتاريخ 24 شباط/فبراير 2019 بعد معارك مع قوات الأسد، وبعد ثلاثة أيام من هجوم فاشل على ذات المنطقة.





",السبت 29 شباط 2020,Politics
ماهي حقيقة (استهداف سيارة عسكرية في مارع),fake,كذب,"
تداولت صفحات وحسابات على مواقع التواصل الاجتماعي يوم الأربعاء خبراً، أفاد بأن عناصر من قوات الأسد استهدفت آلية عسكرية، لعناصر من فصائل (درع الفرات) في إشارة لفصائل إلى فصائل من (الجيش الحر) مدعومة تركياً، قرب مدينة مارع بريف حلب الشمالي.

وقالت تلك الصفحات إن الاستهداف خلف مقتل وجرح عدد من عناصر الفصائل، إضافة إلى تدمير العربة التي كانوا يستقلونها.
منصة ""تأكد"" تابعت المعلومات الواردة في الخبر، حيث تبين أن الاستهداف حصل بالفعل، وبحسب عدة مصادر ميدانية متقاطعة، مصدر الاستهداف كان مناطق مشتركة السيطرة بين (قوات الأسد) و(وحدات حماية الشعب  YPG)، حيث استهدف صاروخ من هناك شاحنة متوسطة تعود لمدني يدعى"" زكريا م.ع"" من سكان مخيم شمارخ، وذلك أثناء عودته من نقل عمال مياومين يشتغلون في الأراضي الزراعية القريبة من مدينة مارع.
ونفى مركز الدفاع المدني في مارع مصادر لـ(تأكد) مقتل أي شخص نتيجة الاستهداف أمس، واقتصرت الإصابات على حالة واحدة فقط.
وتشهد نقاط التماس بين فصائل (الجيش الحر) من جهة، وبين (وحدات حماية الشعب  YPG) وقوات الأسد من جهة أخرى، اشتباكات متبادلة بشكل متكرر، على طول امتداد تلك النقاط شمالي حلب.




",الجمعة 26 نيسان 2019,Politics
جواز السفر الإماراتي ليس الأقوى عالميا,fake,كذب,"

واعتمد ناشرو الخبر، على موقع يحمل عنوان ""باسبورت إندكس"" الذي يظهر الجواز الإماراتي أقوى جواز سفر في العالم على اعتبار أنه يمكن حامليه من دخول 167 بلداً حول العالم.
تود منصة تأكد أن تلفت عناية المتابعين إلى أن موقع ""باسبورت إندكس"" ليس معتمداً بشكل رسمي في عملية تقييم جوازات السفر حول العالم ومدى قوتها، وخلال الاطلاع على الموقع المذكور، تبين أنه يتبع لشركة ""arton capital"" التي تتخذ من مدينة دبي مقراً لها حسب موقع الشركة على الانترنت.
وتشير منصة تأكد إلى أن المؤشر الذي تعتمده معظم المؤسسات الدولية ووسائل الإعلام لتقييم جوازات السفر هو مؤشر هينلي ""henley passport""، بما فيها حكومة دبي.
وترفق منصة تأكد منشوراً من المكتب الإعلامي لحكومة دبي على صفحته الرسمية بموقع ""فيسبوك"" مطلع العام الجاري معتمداً على مؤشر هينلي لجوازات السفر، والذي تحدث عن التقدم الذي أحرزه جواز السفر الإماراتي خلال 10 أعوام.

كما ترفق منصة تأكد أيضاً تغريدة من حساب ااتحاد النقل الجوي لشركات الطيران حول العالم ""IATA""، يطلب من متابعيه التحقق من ترتيب جواز سفرهم عبر مؤشر هينلي.
How powerful is your passport?

World's passports ranked for ease of travel by

Topping the list are: Japan - Singapore - France - Germany - South Korea https://t.co/k9yOUUun1W #HenleyPassportIndex pic.twitter.com/xXaPyD8Cax




",الأحد 02 كانون أول 2018,Tech
داخلية نظام الأسد تنفي تصريحات نسبتها وكالة روسية للوزير,fake,كذب,"
نفت وزارة الداخلية التابعة لحكومة نظام الأسد مؤخراً تصريحات نسبتها وكالة روسية لـ ""وزير الداخلية"" محمد الشعار، مؤكدة أنه لم يدل بأي تصريح للوكالة أو أية وسيلة إعلامية أخرى فيما يتعلق بموضوع البطاقة الشخصية.
وبعد ساعات من نشر الوزارة على صفحتها الرسمية بموقع ""فيسبوك"" عدلت ""وكالة سبوتنيك"" الروسية عنوان ومضمون الخبر الذي نشرته حول الموضوع على موقعها باللغة العربية.
وتظهر نتائج البحث المؤرشفة على محرك ""غوغل"" النسخة الأولى من الخبر الذي نشرته ""سبوتنيك"" بتاريخ 30 نيسان/أبريل الجاري بعنوان ""السوريون يحصلون على بطاقات شخصية غير قابلة للتزوير "" والذي يبدأ بالنص التالي: ""أكد وزير الداخلية السوري محمد الشعار أن الوزارة تعمل حالياً على مشروع تغيير البطاقات الشخصية ""الهويات"" للسوريين لتكون غير قابلة للتزوير. وأضاف الوزير في تصريح لمراسل ""سبوتنيك"": كما سيتم تغير بطاقات السوق والسلاح التي ستتم أتمتتها، ما يمكن الوزارة من مكافحة وتجاوز كل حالات وعمليات التزوير"".
ومن خلال تتبع الرابط يتبين أن ""سبوتنيك"" عدلت عنوان الخبر ومضمونه ليصبح بعنوان :"" سوريا تعمل على إطلاق مشروع ""بطاقة ذكية"" متعددة الاستخدامات"".
وحولت الوكالة في خبرها المُعدل تصريحات وزير داخلية بشار الأسد لتنسبها لـ ""صحيفة الوطن"" شبه الرسمية، وأدرجت تصريحات لوزراء آخرين في حكومة النظام، دون الإشارة إلى أن خبرها الأول كان خاطئاً.




",الجمعة 04 أيار 2018,Politics
لا مروحيات روسية سقطت في حلب اليوم,fake,كذب,"



",الأحد 26 تشرين ثاني 2017,Politics
الشخص الذي قُبض عليه في الأتارب لم يرتد حزاماً ناسفاً,fake,كذب,"
نشرت مواقع إخبارية معارضة، وصفحات وحسابات شخصية على مواقع التواصل الاجتماعي اليوم، خبراً قالوا فيه إن الشرطة الحرة ألقت القبض ظهر اليوم على شخص يرتدي حزاماً ناسفاً في مدينة ""الأتارب"" غرب حلب.

وقال ناشرو الخبر، إن الشخص الذي أُلقي القبض عليه، كان متوجهاً نحو المظاهرة التي خرجت في المدينة الواقعة بريف حلب الغربي، بعد صلاة الجمعة.

لكن ""مركز شرطة الأتارب الحرة""، أوضح عبر صفحته على موقع ""فيسبوك""، أن الحزام الذي عُثر عليه بحوزة الشخص الذي تم اعتقاله لم يكن مُعداً للتفجير، ولا يحتوي على أي مواد متفجرة.
وأشار المركز إلى أنه استعان خلال الكشف عن محتويات الحزام المشبوه بخبير من الدفاع المدني، وخبير آخر من إحدى فصائل المعارضة، وأكدوا بدورهم أن الحزام لا يحتوي على جهاز ارسال ولا على مواد متفجرة، وأنه كان يحتوي على بطاريات توليد طاقة ""بطاريات بيل"" فقط.




",الجمعة 18 آب 2017,Politics
"مصادر مُقربة من ""النابلسي"" تنفي لـ تَأكّدْ الأنباء التي تحدثت عن وفاته",fake,كذب,"
تداول ناشطون على مواقع التواصل الاجتماعي اليوم الثلاثاء، خبراً يتحدث عن وفاة الشيخ الدكتور ""محمد راتب النابلسي"".
وقامت تَأكّدْ بالتحقق من صحة الخبر الذي تم تداوله، وذلك من خلال الصفحة الرسمية للدكتور النابلسي، وتبين أن إدارة الصفحة نشرت قبل أقل من 20 دقيقة، منشوراً يتحدث عن وصول أحد ""النابلسي"" إلى مكتبات العاصمة الأردنية عمان، ولم تذكر الصحفة أي خبر حول وفاة الدكتور، الأمر الذي يدحض الاشاعات التي يتم تداولها حول وفاته.
كما نفت مصادر مُقربة من ""النابلسي"" لـ تَأكّدْ الأنباء التي تحدثت عن وفاته، مؤكدة أن الشيخ بصحة جيدة.

تحديث 10:00 صباح 17/4/2016 

تأكيداً لما نشرته منصة تَأكّدْ سابقاً حول نبأ وفاة الدكتور الشيخ محمد راتب النابلسي :




",الثلاثاء 12 نيسان 2016,Politics
هل تعرض بشار الأسد لمحاولة اغتيال مؤخراً وماحقيقة فيديو ساحة الأمويين؟,fake,تضليل,"
",الجمعة 12 نيسان 2024,Politics
الفيديو قديم وليس لقصف الجيش الروسي العاصمة الأوكرانية كييف مؤخراً,fake,تضليل,"
",الأربعاء 27 آذار 2024,Politics
هذا الفيديو ليس لاشتعال النيران جراء استهداف مزعوم لمطار حيفا,fake,تضليل,"
",الأربعاء 06 آذار 2024,Politics
هل تم تسريب هذه الصورة من ثلاجات قتلى الجيش الإسرائيلي مؤخراً؟,fake,تضليل,"
",الأحد 11 شباط 2024,Politics
هل صرح دونالد ترامب بأن هجوم 11 سبتمبر كان من عمل الولايات المتحدة؟,fake,تضليل,"
",السبت 27 كانون ثاني 2024,Politics
هل تظهر هذه المشاهد تجمع قوات بحرية من 22 دولة في البحر الأحمر؟,fake,تضليل,"
",السبت 06 كانون ثاني 2024,Politics
الفيديو قديم وليس لاعتداء شرطي إسرائيلي على طفل فلسطيني في القدس مؤخراً,fake,تضليل,"
",الاثنين 11 كانون أول 2023,Politics
الفيديو قديم ولا يتعلق بنتائج التحقيقات الأولية في هجوم السابع من أكتوبر,fake,تضليل,"
",الاثنين 20 تشرين ثاني 2023,Politics
هل أرسلت الإمارات معدّات عسكرية للجيش الإسرائيلي مؤخراً؟,fake,تضليل,"
",السبت 04 تشرين ثاني 2023,Politics
الفيديو قديم وليس لطفل فلسطيني فقد إخوته بالقصف على غزة,fake,تضليل,"
",الخميس 12 تشرين أول 2023,Politics
الفيديو قديم وليس لدخول سوريين إلى الأراضي اللبنانية عبر معابر غير شرعية,fake,تضليل,"
",الثلاثاء 03 تشرين أول 2023,Politics
الفيديو قديم وليس لانهيار منزل في الدار البيضاء بسبب زلزال المغرب,fake,تضليل,"
",السبت 09 أيلول 2023,Politics
المقطع ليس لمظاهرات في حي ركن الدين الدمشقي ضد تردي الأوضاع المعيشية,fake,تضليل,"
",الثلاثاء 01 آب 2023,Politics
المقطع ليس لتوجه موكب بوتين بشكل عاجل إلى الكرملين بعد تمرد قوات فاغنر,fake,تضليل,"
",الأحد 25 حزيران 2023,Politics
هل قالت (واشنطن بوست) إن رحيل أردوغان هام جداُ قبل أن تصبح تركيا قوة عظمى؟,fake,تضليل,"
",,Politics
هذا الشخص لم يعتقل بسبب قضية تحرش في إدلب,fake,تضليل,"
",الخميس 27 نيسان 2023,Politics
ما حقيقة الادعاء بأن عدد السوريين في مصر يبلغ أكثر من 5 مليون سوري؟,fake,تضليل,"
",الخميس 27 نيسان 2023,Politics
